frame,car_x,car_y,car_z,car_yaw,car_vx,car_vy,car_vz,fl_x,fl_y,fl_z,fl_vx,fl_vy,fl_vz,fr_x,fr_y,fr_z,fr_vx,fr_vy,fr_vz,rl_x,rl_y,rl_z,rl_vx,rl_vy,rl_vz,rr_x,rr_y,rr_z,rr_vx,rr_vy,rr_vz
1,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
2,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
3,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
4,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
5,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
6,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
7,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
8,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
9,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
10,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
11,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
12,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
13,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
14,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
15,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
16,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
17,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
18,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
19,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
20,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
21,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
22,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
23,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
24,-4.842132329940796e-05,-0.013472013175487518,1.2710343599319458,0.0,0.0,0.0,0.0,0.7399625778198242,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,-0.7400349378585815,-1.130021333694458,0.543657660484314,0.0,0.0,0.0,0.7399625778198242,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0,-0.7400349378585815,0.9995324611663818,0.5436570644378662,0.0,0.0,0.0
